user_id,join,followers,following
AbdullahArdhi,SlawiJoined April 2023,117 Followers,214 Following
bewithyiu,Rumah Singgah Eunoia secreto.site/agno21Joined May 2021,742 Followers,743 Following
wientaxa,Indonesia Bagian MarjinalJoined March 2024,3 Followers,111 Following
wibungitis,rentry.co/sai55Joined May 2020,90 Followers,239 Following
avocado_juice41,Joined September 2023,26 Followers,60 Following
Baggiioooo,Surganya AllahJoined January 2020,204 Followers,356 Following
tanyarlfes,Entertainment & RecreationIndonesias.id/tanyarlfesJoined April 2013,1.8M Followers,14.5K Following
sinceApril1970,Joined May 2023,948 Followers,"1,337 Following"
sweetnaviblue,in your heart Joined July 2022,244 Followers,266 Following
almema_hasnaa,Joined August 2023,0 Followers,28 Following
arieindienesia,"Pekan Baru, RiauBorn January 15Joined October 2009",49.2K Followers,702 Following
duniauli,Joined May 2022,165 Followers,122 Following
papamekdi,Jakarta Capital RegionBorn 1999Joined August 2022,215 Followers,209 Following
yomoneasu,mana kek udah gedeJoined December 2011,172 Followers,351 Following
deviannisaa,Jakarta Capital RegionJoined September 2009,419 Followers,508 Following
duniagemoy,Joined October 2023,9 Followers,94 Following
pillowaguilina,Joined January 2022,"1,394 Followers","1,608 Following"
amatchalattie,EXO-L ; Nct-zen (baby) ; CaratJoined July 2023,713 Followers,424 Following
yellowpostitbro,she/herBorn September 6Joined October 2018,"2,760 Followers","2,511 Following"
SSiNN_ikn,Event Venue彼は天井から見ているJoined March 2022,213 Followers,"1,280 Following"
stinao_,Joined November 2022,257 Followers,72 Following
jokowiofc,Media PersonalityJakartaJoined March 2023,595 Followers,"1,027 Following"
machrilmachril1,"Non-Governmental & Nonprofit Organization Denpasar, BaliJoined December 2022",197 Followers,849 Following
hakunomatataa,"Cervera de los Montes, EspañaJoined July 2013","1,390 Followers",923 Following
cend241,IndonesiaJoined April 2021,44 Followers,60 Following
deluluww,"Born June 8, 2004Joined December 2022",2 Followers,46 Following
hanseolaaa,IndonesiaJoined May 2019,195 Followers,143 Following
macarvns,아포방포 — aka AshleyJoined December 2015,750 Followers,748 Following
JsmSelamat25259,Joined February 2024,45 Followers,138 Following
deikazuya,moon Joined July 2022,226 Followers,241 Following
Aangg415687,Joined December 2023,2 Followers,43 Following
AsHerdian,Joined October 2021,88 Followers,314 Following
ediashari1,majalengkaJoined October 2012,561 Followers,"1,025 Following"
ikn_hjl,"Born October 10, 2005Joined February 2022",120 Followers,243 Following
liputan6dotcom,Jakartabit.ly/Liputan6WAChan…Joined June 2009,4.6M Followers,695 Following
primawansatrio,"Professional ServicesBusan, Republic of KoreaJoined January 2010",23.8K Followers,"1,159 Following"
GhhopesHi,Joined September 2022,121 Followers,79 Following
aaniiindaa,"ÜT: -6.928058,107.620877Joined September 2009",471 Followers,545 Following
SINDOnews,"Media & News CompanyJakarta Pusat, DKI Jakartasindonews.comBorn July 4Joined December 2010",409.8K Followers,187 Following
